"[[10  1  4  7]
 [ 8  3  2  9]]","[6, 34]","[8, 33]","[8, 32]","[10, 31]"

"[[ 6  5  1 10]
 [ 9  2  2  9]]","[6, 34]","[9, 33]","[7, 33]","[12, 31]"

"[[ 8  3  1 10]
 [ 6  5  2  9]]","[4, 33]","[7, 31]","[5, 32]","[9, 30]"

"[[ 7  4  2  9]
 [ 9  2  1 10]]","[8, 35]","[11, 34]","[10, 35]","[14, 33]"

"[[ 8  3  2  9]
 [ 7  4  1 10]]","[5, 34]","[9, 33]","[7, 33]","[8, 32]"

"[[ 9  2  5  6]
 [ 9  2  0 11]]","[9, 35]","[10, 35]","[11, 34]","[13, 33]"

"[[7 4 2 9]
 [9 2 2 9]]","[6, 34]","[8, 33]","[8, 33]","[12, 31]"

"[[9 2 4 7]
 [9 2 2 9]]","[6, 34]","[8, 33]","[6, 33]","[11, 32]"

"[[10  1  4  7]
 [10  1  6  5]]","[2, 30]","[5, 29]","[2, 30]","[8, 28]"

"[[ 7  4  4  7]
 [11  0  2  9]]","[6, 34]","[8, 33]","[8, 33]","[8, 32]"

"[[ 9  2  4  7]
 [10  1  2  9]]","[8, 35]","[11, 34]","[8, 35]","[11, 33]"

"[[ 9  3  2 10]
 [ 9  3  1 11]]","[11, 39]","[14, 38]","[12, 38]","[17, 37]"

"[[ 8  4  2 10]
 [11  1  2 10]]","[10, 39]","[14, 39]","[12, 38]","[16, 37]"

"[[12  0  5  7]
 [10  2  2 10]]","[11, 39]","[15, 38]","[14, 38]","[16, 37]"

"[[ 9  3  3  9]
 [11  1  4  8]]","[6, 37]","[10, 36]","[7, 35]","[13, 34]"

"[[ 8  4  1 11]
 [ 8  4  0 12]]","[12, 39]","[16, 37]","[14, 38]","[16, 37]"

"[[ 8  4  0 12]
 [ 7  5  3  9]]","[5, 35]","[8, 34]","[8, 34]","[10, 33]"

"[[ 8  4  3  9]
 [11  1  2 10]]","[8, 38]","[12, 38]","[10, 37]","[13, 36]"

"[[11  1  7  5]
 [11  1  3  9]]","[6, 34]","[9, 33]","[8, 34]","[12, 32]"

"[[10  2  3  9]
 [ 9  3  3  9]]","[6, 37]","[10, 36]","[9, 36]","[12, 34]"

"[[10  2  1 11]
 [12  0  6  6]]","[12, 39]","[15, 38]","[13, 38]","[18, 36]"

"[[ 9  3  2 10]
 [11  1  2 10]]","[12, 40]","[16, 40]","[15, 40]","[20, 38]"

"[[11  1  3  9]
 [ 9  3  2 10]]","[10, 39]","[14, 39]","[11, 39]","[17, 37]"

"[[11  1  3  9]
 [ 8  4  3  9]]","[6, 37]","[10, 36]","[9, 35]","[13, 34]"

"[[ 9  3  2 10]
 [11  1  2 10]]","[12, 40]","[16, 40]","[15, 40]","[20, 38]"

"[[10  2  4  8]
 [11  1  4  8]]","[7, 37]","[10, 35]","[9, 36]","[13, 34]"

"[[10  2  2 10]
 [ 9  3  3  9]]","[8, 38]","[12, 38]","[10, 38]","[15, 36]"

"[[11  1  0 12]
 [ 7  5  1 11]]","[17, 41]","[20, 40]","[20, 40]","[23, 40]"

"[[11  2  3 10]
 [10  3  4  9]]","[8, 40]","[11, 39]","[10, 38]","[15, 37]"

"[[ 9  4  2 11]
 [10  3  2 11]]","[10, 41]","[13, 40]","[12, 39]","[15, 38]"

"[[11  2  1 12]
 [ 9  4  4  9]]","[10, 41]","[14, 40]","[11, 39]","[15, 39]"

"[[12  1  2 11]
 [ 8  5  2 11]]","[12, 42]","[16, 41]","[15, 41]","[19, 39]"

"[[12  1  2 11]
 [10  3  4  9]]","[12, 42]","[16, 41]","[15, 41]","[21, 39]"

"[[11  2  3 10]
 [11  2  2 11]]","[14, 43]","[18, 43]","[15, 43]","[19, 41]"

"[[10  3  0 13]
 [10  3  3 10]]","[15, 43]","[18, 42]","[17, 42]","[21, 41]"

"[[10  3  1 12]
 [ 8  5  2 11]]","[10, 41]","[13, 40]","[10, 40]","[14, 39]"

"[[11  2  3 10]
 [ 8  5  0 13]]","[13, 42]","[15, 41]","[15, 41]","[19, 39]"

"[[12  1  5  8]
 [13  0  2 11]]","[17, 44]","[20, 43]","[19, 44]","[23, 42]"

"[[11  2  3 10]
 [11  2  4  9]]","[10, 41]","[13, 40]","[12, 40]","[16, 39]"

"[[11  2  3 10]
 [11  2  4  9]]","[10, 41]","[13, 40]","[12, 40]","[18, 38]"

"[[11  2  5  8]
 [12  1  2 11]]","[12, 42]","[15, 41]","[14, 41]","[19, 40]"

"[[ 7  6  4  9]
 [13  0  1 12]]","[11, 41]","[14, 40]","[15, 40]","[16, 38]"

"[[12  1  4  9]
 [11  2  4  9]]","[10, 41]","[13, 40]","[9, 39]","[15, 38]"

"[[13  0  2 11]
 [ 8  5  3 10]]","[13, 42]","[16, 42]","[15, 41]","[17, 39]"

"[[10  3  3 10]
 [11  2  4  9]]","[8, 40]","[11, 39]","[8, 39]","[15, 36]"

"[[12  2  1 13]
 [10  4  4 10]]","[14, 45]","[17, 44]","[16, 43]","[21, 42]"

"[[ 9  5  1 13]
 [12  2  2 12]]","[16, 46]","[19, 45]","[19, 45]","[21, 44]"

"[[10  4  3 11]
 [11  3  2 12]]","[11, 44]","[15, 43]","[14, 41]","[17, 40]"

"[[12  2  2 12]
 [11  3  2 12]]","[18, 47]","[22, 47]","[21, 46]","[25, 46]"

"[[10  4  4 10]
 [12  2  3 11]]","[9, 43]","[12, 41]","[10, 41]","[16, 39]"

"[[11  3  0 14]
 [ 9  5  3 11]]","[14, 45]","[17, 44]","[18, 43]","[21, 41]"

"[[12  2  3 11]
 [13  1  3 11]]","[18, 47]","[21, 46]","[21, 47]","[24, 45]"

"[[12  2  4 10]
 [11  3  2 12]]","[14, 45]","[17, 44]","[14, 43]","[19, 43]"

"[[10  4  1 13]
 [ 8  6  2 12]]","[9, 42]","[13, 40]","[9, 41]","[15, 38]"

"[[12  2  0 14]
 [13  1  7  7]]","[17, 46]","[19, 45]","[20, 44]","[22, 44]"

"[[12  2  3 11]
 [11  3  3 11]]","[14, 45]","[17, 44]","[13, 45]","[18, 44]"

"[[10  4  3 11]
 [ 8  6  2 12]]","[5, 40]","[9, 38]","[7, 37]","[11, 36]"

"[[11  3  2 12]
 [12  2  2 12]]","[18, 47]","[22, 47]","[19, 47]","[23, 45]"

"[[12  2  4 10]
 [13  1  6  8]]","[9, 42]","[13, 40]","[9, 41]","[14, 39]"

"[[13  1  4 10]
 [14  0  4 10]]","[18, 47]","[22, 46]","[20, 46]","[26, 45]"

"[[10  4  3 11]
 [10  4  3 11]]","[7, 42]","[10, 40]","[7, 39]","[11, 38]"

"[[11  3  2 12]
 [13  1  2 12]]","[20, 48]","[24, 48]","[22, 48]","[27, 46]"

"[[10  5  5 10]
 [10  5  1 14]]","[7, 43]","[10, 41]","[8, 40]","[15, 38]"

"[[11  4  3 12]
 [12  3  3 12]]","[12, 47]","[16, 46]","[12, 45]","[18, 43]"

"[[11  4  3 12]
 [11  4  2 13]]","[13, 47]","[16, 46]","[15, 45]","[18, 43]"

"[[11  4  3 12]
 [11  4  1 14]]","[15, 48]","[19, 47]","[14, 46]","[22, 45]"

"[[12  3  4 11]
 [13  2  3 12]]","[15, 48]","[18, 47]","[17, 46]","[21, 45]"

"[[12  3  2 13]
 [14  1  2 13]]","[24, 52]","[28, 52]","[28, 52]","[32, 50]"

"[[12  3  3 12]
 [11  4  4 11]]","[10, 46]","[14, 44]","[12, 43]","[17, 41]"

"[[13  2  3 12]
 [14  1  4 11]]","[19, 50]","[23, 49]","[22, 49]","[26, 48]"

"[[13  2  3 12]
 [12  3  4 11]]","[15, 48]","[18, 47]","[17, 46]","[22, 45]"

"[[13  2  2 13]
 [12  3  4 11]]","[17, 49]","[20, 49]","[17, 48]","[24, 46]"

"[[14  1  2 13]
 [10  5  2 13]]","[20, 50]","[23, 50]","[21, 49]","[27, 48]"

"[[13  2  4 11]
 [13  2  4 11]]","[15, 48]","[19, 47]","[14, 46]","[23, 45]"

"[[12  3  2 13]
 [13  2  4 11]]","[17, 49]","[20, 49]","[20, 48]","[21, 46]"

"[[11  4  2 13]
 [12  3  4 11]]","[12, 47]","[16, 46]","[16, 45]","[20, 43]"

"[[10  5  3 12]
 [14  1  1 14]]","[20, 50]","[23, 50]","[24, 49]","[26, 47]"

"[[ 9  6  3 12]
 [10  5  0 15]]","[12, 44]","[15, 43]","[13, 42]","[16, 41]"

"[[15  0  5 10]
 [12  3  3 12]]","[18, 49]","[21, 48]","[16, 48]","[22, 47]"

"[[ 9  7  2 14]
 [14  2  2 14]]","[17, 50]","[21, 49]","[19, 49]","[24, 47]"

"[[13  3  2 14]
 [12  4  4 12]]","[16, 51]","[20, 50]","[18, 49]","[24, 47]"

"[[12  4  2 14]
 [10  6  2 14]]","[15, 49]","[19, 47]","[15, 47]","[20, 46]"

"[[14  2  3 13]
 [12  4  4 12]]","[16, 51]","[20, 50]","[18, 49]","[23, 47]"

"[[14  2  5 11]
 [12  4  2 14]]","[16, 51]","[20, 50]","[20, 48]","[23, 47]"

"[[13  3  3 13]
 [12  4  2 14]]","[18, 52]","[22, 51]","[20, 50]","[24, 49]"

"[[15  1  3 13]
 [11  5  3 13]]","[19, 52]","[22, 52]","[23, 50]","[24, 49]"

"[[15  1  4 12]
 [14  2  4 12]]","[21, 53]","[25, 52]","[22, 52]","[27, 50]"

"[[15  1  4 12]
 [ 8  8  3 13]]","[11, 47]","[14, 45]","[11, 45]","[16, 43]"

"[[13  3  3 13]
 [15  1  7  9]]","[15, 49]","[19, 47]","[16, 47]","[21, 46]"

"[[15  1  7  9]
 [11  5  1 15]]","[16, 50]","[18, 49]","[16, 47]","[19, 45]"

"[[13  3  4 12]
 [14  2  1 15]]","[23, 54]","[26, 54]","[25, 54]","[28, 52]"

"[[15  1  3 13]
 [15  1  5 11]]","[23, 54]","[28, 53]","[27, 53]","[30, 51]"

"[[13  3  5 11]
 [12  4  2 14]]","[14, 50]","[18, 48]","[16, 47]","[21, 46]"

"[[11  5  4 12]
 [14  2  4 12]]","[12, 49]","[16, 47]","[14, 46]","[17, 44]"

"[[16  0  3 13]
 [11  5  4 12]]","[19, 52]","[22, 51]","[21, 51]","[26, 49]"

"[[14  2  4 12]
 [15  1  2 14]]","[25, 55]","[29, 55]","[28, 55]","[32, 53]"

"[[13  4  6 11]
 [16  1  3 14]]","[18, 53]","[21, 52]","[21, 51]","[24, 50]"

"[[11  6  2 15]
 [10  7  2 15]]","[13, 48]","[16, 46]","[13, 46]","[19, 45]"

"[[12  5  5 12]
 [15  2  0 17]]","[23, 56]","[26, 55]","[24, 54]","[28, 53]"

"[[12  5  3 14]
 [14  3  1 16]]","[23, 56]","[27, 55]","[25, 54]","[27, 52]"

