"[[10 10 10 10]
 [10 10 10 10]]","[[ 6  4 15 15]
 [ 5  5 15 15]]","[-25.685182295902976, 33.685182295902976]",0.0,"[-24, 30]",0.008,"[-20, 27]",15.40351,"[-21, 26]",0.44745,"[-18, 24]",116.80417

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 8  7  3  2]
 [14  1  0  5]]","[1.4373393521410116, 33.22932731452566]",0.0,"[-2, 29]",0.00802,"[0, 29]",0.98269,"[1, 28]",0.0427,"[3, 26]",2.19872

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 7  8  2  3]
 [14  1  0  5]]","[4.104006018807677, 35.895993981192326]",0.0,"[-1, 29]",0.00418,"[2, 29]",0.89289,"[2, 28]",0.044,"[6, 27]",3.56766

"[[ 2 24  0  4]
 [ 1 26  2  1]]","[[ 5  0  1 24]
 [22  3  0  5]]","[48.75890108261823, 61.64109891738177]",0.0,"[16, 56]",0.008,"[24, 57]",0.21816,"[32, 56]",0.11253,"[35, 56]",17.4477

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 4  1  5 20]
 [ 5 25  9  1]]","[-34.475019248811435, 11.808352582144773]",0.0,"[-35, 15]",0.008,"[-33, 15]",5.74729,"[-32, 10]",0.19039,"[-29, 10]",22.64566

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 7  8  1  4]
 [14  1  0  5]]","[10.17179391537006, 37.82820608462994]",0.0,"[2, 30]",0.004,"[7, 30]",0.70149,"[6, 30]",0.04522,"[8, 29]",5.44969

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 2  3  3 22]
 [ 3 27  8  2]]","[-46.87854700933555, 7.678547009335544]",0.0,"[-39, 12]",0.01203,"[-41, 9]",5.11611,"[-36, 4]",0.148,"[-34, 3]",38.98143

"[[ 3  8  4  5]
 [ 0 19  1  0]]","[[ 9  6  2  3]
 [15  0  1  4]]","[1.0263453841334957, 38.97365461586651]",0.0,"[0, 31]",0.004,"[3, 31]",0.85416,"[2, 30]",0.0435,"[5, 28]",2.54052

"[[ 2 24  0  4]
 [ 1 26  2  1]]","[[ 5  0  2 23]
 [22  3  1  4]]","[29.883315931437508, 66.11668406856249]",0.0,"[11, 54]",0.01201,"[18, 55]",0.83087,"[23, 54]",0.10411,"[27, 53]",22.0868

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 4  1  3 22]
 [ 5 25  8  2]]","[-29.44681369748593, 19.580147030819255]",0.0,"[-31, 21]",0.0084,"[-30, 22]",5.71438,"[-30, 18]",0.21915,"[-22, 14]",22.92099

"[[ 2 24  0  4]
 [ 1 26  2  1]]","[[ 5  0  2 23]
 [22  3  1  4]]","[29.883315931437508, 66.11668406856249]",0.0,"[11, 54]",0.008,"[18, 55]",0.83141,"[23, 54]",0.0749,"[27, 54]",21.94566

"[[ 2 24  0  4]
 [ 1 26  2  1]]","[[ 5  0  1 24]
 [23  2  0  5]]","[50.71948469821349, 62.080515301786505]",0.004,"[17, 57]",0.01231,"[25, 58]",0.16334,"[32, 57]",0.0513,"[36, 57]",12.81867

"[[ 2 24  0  4]
 [ 1 26  2  1]]","[[ 5  0  1 24]
 [23  2  1  4]]","[32.82577770756817, 67.97422229243182]",0.0,"[13, 56]",0.01572,"[20, 57]",0.51602,"[24, 56]",0.06055,"[31, 56]",13.68454

"[[ 1  0  9  0]
 [ 0 40  0  0]]","[[ 0  5  5  0]
 [20  0  0 20]]","[30.000000000000004, 30.000000000000004]",0.0,"[16, 40]",0.01471,"[14, 40]",1.15248,"[24, 40]",0.024,"[16, 38]",1.21133

"[[ 3 23  2  2]
 [ 4  2 30  4]]","[[ 5  0  4 21]
 [ 4 26  7  3]]","[-15.878900641170945, 20.945567307837617]",0.0,"[-27, 23]",0.008,"[-26, 24]",6.90476,"[-23, 21]",0.17652,"[-17, 19]",24.1598

"[[ 1  0  9  0]
 [ 0 40  0  0]]","[[ 0  5  5  0]
 [20  0  0 20]]","[30.000000000000004, 30.000000000000004]",0.0,"[16, 40]",0.012,"[14, 40]",1.19605,"[24, 40]",0.028,"[15, 38]",1.14107

